Title,Authors,Price,Stars,Number of Reviews,Published Date,Country,Currency
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow 3e: Concepts, Tools, and Techniques to Build Intelligent Systems  ",[],68.0,,,2022-10-31,Australia,AU Dollars
Machine Learning for Absolute Beginners: A Plain English Introduction (Third Edition) (Machine Learning with Python for Beginners Book Series 1)  ,[],0.0,,,2020-12-31,Australia,AU Dollars
The Hundred-Page Machine Learning Book  ,[],49.0,,,2019-01-01,Australia,AU Dollars
Machine Learning: A Probabilistic Perspective (Adaptive Computation and Machine Learning series)  ,[],161.0,,,2012-09-07,Australia,AU Dollars
Approaching (Almost) Any Machine Learning Problem  ,[],9.0,,,2020-06-30,Australia,AU Dollars
Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications  ,[],51.0,,,2022-05-01,Australia,AU Dollars
"Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems  ",[],,,,2019-10-15,Australia,
Machine Learning with Python: A Practical Beginners’ Guide (Machine Learning with Python for Beginners Book Series 2)  ,[],5.0,,,2019-08-15,Australia,AU Dollars
Probabilistic Machine Learning: Advanced Topics (Adaptive Computation and Machine Learning series)  ,[],176.0,,,2023-08-15,Australia,AU Dollars
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python  ,[],44.0,,,2022-02-25,Australia,AU Dollars
"Machine Learning For Absolute Beginners: A Plain English Introduction (Second Edition) (AI, Data Science, Python & Statistics for Beginners)  ",[],0.0,,,2017-06-21,Australia,AU Dollars
Applied Machine Learning and AI for Engineers: Solve Business Problems That Can't Be Solved Algorithmically  ,[],100.0,,,2022-11-25,Australia,AU Dollars
Probabilistic Machine Learning: An Introduction (Adaptive Computation and Machine Learning series)  ,[],129.0,,,2022-03-01,Australia,AU Dollars
AI and Machine Learning For Coders: A Programmer's Guide to Artificial Intelligence  ,[],51.0,,,2020-10-16,Australia,AU Dollars
Machine Learning for Earth Sciences: Using Python to Solve Geological Problems  ,[],168.0,,,2023-09-23,Australia,AU Dollars
Linear Algebra and Optimization for Machine Learning: A Textbook  ,[],59.0,,,2020-05-13,Australia,AU Dollars
Real-World Machine Learning  ,[],55.0,,,2016-09-15,Australia,AU Dollars
"JUMPSTART YOUR MACHINE LEARNING JOURNEY: LEARN EFFORTLESSLY, EVEN WITH NO PRIOR EXPERIENCE: ACCELERATE YOUR CAREER IN DATA SCIENCE AND ARTIFICIAL INTELLIGENCE WITH MACHINE LEARNING  ",[],0.0,,,2023-10-03,Australia,AU Dollars
Machine Learning Book Python : The Perfect Handbook For Building A Top-Notch Code In Scratch And Using Python Data Science Programming To Elevate Your ... The Ordinary (Python programming language)  ,[],0.0,,,2020-12-10,Australia,AU Dollars
"Machine Learning in Medical Imaging: 14th International Workshop, MLMI 2023, Held in Conjunction with MICCAI 2023, Vancouver, BC, Canada, October 8, 2023, ... Notes in Computer Science Book 14349)  ",[],101.0,,,2023-10-14,Australia,AU Dollars
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python  ,[],84.0,,,2021-01-05,Australia,AU Dollars
Deep Learning: A Visual Approach  ,[],93.0,,,2021-09-14,Australia,AU Dollars
"Practicing Trustworthy Machine Learning: Consistent, Transparent, and Fair AI Pipelines  ",[],88.0,,,2023-01-13,Australia,AU Dollars
Statistics for Machine Learning: Implement Statistical methods used in Machine Learning using Python (English Edition)  ,[],56.0,,,2021-01-15,Australia,AU Dollars
Machine Learning in Finance: Use Machine Learning Techniques for Day Trading and Value Trading in the Stock Market (Financial Data Analytics Using Python Book 3)  ,[],0.0,,,2018-09-13,Australia,AU Dollars
Age of Invisible Machines: A Practical Guide to Creating a Hyperautomated Ecosystem of Intelligent Digital Workers  ,[],34.0,,,2022-09-20,Australia,AU Dollars
