Title,Authors,Price,Stars,Number of Reviews,Country
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow 3e: Concepts, Tools, and Techniques to Build Intelligent Systems  ",[],68.0,5,294,Australia
Machine Learning for Absolute Beginners: A Plain English Introduction (Third Edition) (Machine Learning with Python for Beginners Book Series 1)  ,[],0.0,3,64,Australia
The Hundred-Page Machine Learning Book  ,[],49.0,1,113,Australia
Machine Learning: A Probabilistic Perspective (Adaptive Computation and Machine Learning series)  ,[],161.0,4,382,Australia
Approaching (Almost) Any Machine Learning Problem  ,[],9.0,5,277,Australia
Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications  ,[],51.0,4,235,Australia
"Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems  ",[],55.34067532134971,1,448,Australia
Machine Learning with Python: A Practical Beginners’ Guide (Machine Learning with Python for Beginners Book Series 2)  ,[],5.0,5,34,Australia
Probabilistic Machine Learning: Advanced Topics (Adaptive Computation and Machine Learning series)  ,[],176.0,3,395,Australia
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python  ,[],44.0,1,63,Australia
"Machine Learning For Absolute Beginners: A Plain English Introduction (Second Edition) (AI, Data Science, Python & Statistics for Beginners)  ",[],0.0,4,375,Australia
Applied Machine Learning and AI for Engineers: Solve Business Problems That Can't Be Solved Algorithmically  ,[],100.0,5,102,Australia
Probabilistic Machine Learning: An Introduction (Adaptive Computation and Machine Learning series)  ,[],129.0,4,279,Australia
AI and Machine Learning For Coders: A Programmer's Guide to Artificial Intelligence  ,[],51.0,1,202,Australia
Machine Learning for Earth Sciences: Using Python to Solve Geological Problems  ,[],168.0,4,403,Australia
Linear Algebra and Optimization for Machine Learning: A Textbook  ,[],59.0,3,458,Australia
Real-World Machine Learning  ,[],55.0,4,439,Australia
"JUMPSTART YOUR MACHINE LEARNING JOURNEY: LEARN EFFORTLESSLY, EVEN WITH NO PRIOR EXPERIENCE: ACCELERATE YOUR CAREER IN DATA SCIENCE AND ARTIFICIAL INTELLIGENCE WITH MACHINE LEARNING  ",[],0.0,4,21,Australia
Machine Learning Book Python : The Perfect Handbook For Building A Top-Notch Code In Scratch And Using Python Data Science Programming To Elevate Your ... The Ordinary (Python programming language)  ,[],0.0,2,176,Australia
"Machine Learning in Medical Imaging: 14th International Workshop, MLMI 2023, Held in Conjunction with MICCAI 2023, Vancouver, BC, Canada, October 8, 2023, ... Notes in Computer Science Book 14349)  ",[],101.0,1,386,Australia
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python  ,[],84.0,2,175,Australia
Deep Learning: A Visual Approach  ,[],93.0,1,145,Australia
"Practicing Trustworthy Machine Learning: Consistent, Transparent, and Fair AI Pipelines  ",[],88.0,2,433,Australia
Statistics for Machine Learning: Implement Statistical methods used in Machine Learning using Python (English Edition)  ,[],56.0,2,184,Australia
Machine Learning in Finance: Use Machine Learning Techniques for Day Trading and Value Trading in the Stock Market (Financial Data Analytics Using Python Book 3)  ,[],0.0,1,281,Australia
Age of Invisible Machines: A Practical Guide to Creating a Hyperautomated Ecosystem of Intelligent Digital Workers  ,[],34.0,3,319,Australia
Machine Learning A-Z: Become Kaggle Master  ,[],0.0,4,194,Australia
"Machine Learning Algorithms: Popular algorithms for data science and machine learning, 2nd Edition  ",[],96.0,1,230,Australia
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics  ",[],51.0,5,167,Australia
Python Machine Learning: The Ultimate Beginner's Guide to Learn Python Machine Learning Step by Step using Scikit-Learn and Tensorflow (Computer Programming)  ,[],0.0,2,33,Australia
The Hundred-Page Machine Learning Book en français (French Edition)  ,[],61.0,3,421,Australia
"Machine Learning: 2 Manuscripts in 1 Book - Neural Networks Understand How Neural Networks Work, Deep Learning A Sensible Guide Presenting the Concepts (Machine Learning Series 3)  ",[],0.0,4,368,Australia
"Causal Inference and Discovery in Python: Unlock the secrets of modern causal machine learning with DoWhy, EconML, PyTorch and more  ",[],93.0,3,95,Australia
Machine Learning Engineering with Python: Manage the production life cycle of machine learning models using MLOps with practical examples  ,[],122.0,5,398,Australia
"Foundations of Machine Learning, second edition (Adaptive Computation and Machine Learning series)  ",[],124.0,3,71,Australia
Blueprints for Text Analytics using Python: Machine Learning Based Solutions for Common Real World (NLP) Applications  ,[],60.0,5,499,Australia
